sample_id	assembly_mat	assembly_pat	population	accession_mat	accession_pat
HG002	HG002.pri.mat.f1_v2	HG002.alt.pat.f1_v2	Caucasian	GCA_018852615.1	GCA_018852605.1
HG00438	HG00438.pri.mat.f1_v2	HG00438.alt.pat.f1_v2	Han Chinese South	GCA_018471515.1	GCA_018472595.1
HG005	HG005.pri.mat.f1_v2	HG005.alt.pat.f1_v2	Asian	GCA_018506965.1	GCA_018506945.1
HG00621	HG00621.pri.mat.f1_v2	HG00621.alt.pat.f1_v2	Han Chinese South	GCA_018472605.1	GCA_018472575.1
HG00673	HG00673.pri.mat.f1_v2	HG00673.alt.pat.f1_v2	Han Chinese South	GCA_018472565.1	GCA_018472585.1
HG00733	HG00733.pri.mat.f1_v2	HG00733.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018506975.1	GCA_018506955.1
HG00735	HG00735.pri.mat.f1_v2	HG00735.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018472765.1	GCA_018472715.1
HG00741	HG00741.pri.mat.f1_v2	HG00741.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018471095.1	GCA_018471105.1
HG01071	HG01071.pri.mat.f1_v2	HG01071.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018472685.1	GCA_018472725.1
HG01106	HG01106.pri.mat.f1_v2	HG01106.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018471345.1	GCA_018471075.1
HG01109	HG01109.pri.mat.f1_v2	HG01109.alt.pat.f1_v2	Puerto Rico	GCA_018504365.1	GCA_018504645.1
HG01123	HG01123.pri.mat.f1_v2.1	HG01123.alt.pat.f1_v2.1	Colombian In Medellin, Colombia	GCA_018469665.1	GCA_018469695.1
HG01175	HG01175.pri.mat.f1_v2	HG01175.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018471085.1	GCA_018471065.1
